smiles,E,S,A,B,L,group
C[Si](C)(C)C,-0.02,-0.1,0,,1.8275,training
C[Si](N[Si](C)(C)C)(C)C,-0.04,-0.05,0.27,0.14,3.493,training
C[Si](O[Si](C)(C)C)(C)C,-0.27,-0.19,0,0.3,3.115,training
C[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,,-0.07,0,0.375,3.95,training
C[Si](O[Si](C)(C)C)(O[Si](O[Si](C)(C)C)(C)C)C,-0.72,-0.17,,0.56,,training
C[Si](O[Si](O[Si](C)(C)C)(C)C)(O[Si](O[Si](C)(C)C)(C)C)C,-0.94,-0.18,0,0.72,5.7545,training
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C,,-0.12,0,0.77,6.18,training
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](O[Si](O1)(C)C)(C)C,-0.7,-0.09,,,5.30025,training
C[Si]1(C)O[Si](C)(C)O[Si](O[Si](O1)(C)C)(C)C,-0.47,-0.08,0,0.446666667,4.488666667,training
C[SiH](O[Si](C)(C)C)C,-0.22,-0.16,0,0.31,2.99,training
C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,-0.45,-0.15,0.07,0.37,3.794,training
C=C[Si](O[Si](C)(C)C)(C)C,,-0.03,0,0.28,3.493,training
C=C[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,-0.42,-0.07,0,,4.327,training
C=C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C=C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,-0.79,-0.05,0,1.45,7.995,training
C=C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C=C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,-0.9,-0.06,0,,8.647,training
C=C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C=C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,-1.03,-0.09,0,1.87,9.8385,training
CC[Si](CC)(CC)CC,,-0.12,,,,training
CCCCCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,-0.52,-0.08,0,0.54,6.808,training
COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.71,-0.23,0,0.12,1.4525,training
COC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,-0.71,-0.23,,,1.428,training
FC(=C(C(F)(F)F)F)F,-0.5,-0.17,,0.1,0.337,training
FC(C(Br)(F)F)(C(F)(F)F)F,,-0.27,,,1.251,training
FC(C(C(Br)(F)F)(F)F)(C(Br)(F)F)F,-0.13,-0.03,,,2.982,training
FC(C(C(C(Br)(F)F)(F)F)(F)F)(F)F,-0.56,-0.26,,0,1.559,training
FC(C(C(C(C(C(Br)(F)F)(F)F)(F)F)(F)F)(F)F)F,-0.73,-0.1,0.06,0.01,2.765,training
FC(C(C(C(F)(F)F)(F)F)(F)F)F,-0.835,-0.36,0.07,0.1,0.56,training
FC(C(C(C(F)(F)F)(F)F)F)F,-0.79,-0.13,0.18,0.14,0.887,training
FC(C(C(F)(F)F)(Cl)F)(C(F)(F)F)Cl,,-0.19,,0,1.913,training
FC(C(C(F)(F)F)(F)F)(C(F)(F)F)F,-0.75,-0.76,,,,training
FC(C(C(F)(F)F)(F)F)F,-0.69,-0.24,,,,training
FC(C(Cl)(F)F)(C(Cl)(F)F)Cl,-0.07,-0.03,,0.06,,training
FC(C(F)(F)F)(Br)F,,-0.2,,0.04,0.97,training
FC(C(F)(F)F)(C(F)(F)F)Cl,-0.55,-0.32,,0,0.77,training
FC(C(F)(F)F)(C(F)(F)F)F,-0.75,-0.52,,0.03,-0.004,training
FC(C(F)(F)F)(Cl)F,-0.36,-0.11,,0,,training
FC(C(F)(F)F)(F)F,-0.69,-0.41,,,-0.403,training
FC(C(F)(F)F)F,-0.51,-0.01,0.11,,0.1,training
FC(C(F)(F)F)OC(F)(F)F,-0.57,-0.13,0,0.05,0.439,training
FC(C1(F)C(F)(F)C(C1(F)C(F)(F)F)(F)F)(F)F,-0.91,-0.75,,0.08,0.89,training
FC(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)(F)F,-0.29,-0.01,0,0.05,,training
FC(COCC(F)(F)F)(F)F,-0.483333333,-0.06,0.106666667,0.386666667,,training
FC(F)(F)F,-0.425833333,-0.24,,0,-0.816181818,training
FC(OC(C(Cl)(Cl)F)(F)F)(Cl)F,0.04,-0.17,,0.06,2.656,training
FC(OC(C(Cl)(F)F)(F)F)(Cl)Cl,0.04,-0.16,,0.05,2.66,training
FC(OC(C(F)(F)F)(Cl)Cl)(Cl)F,,-0.21,,0.08,2.607,training
FC(OC(C(F)(F)F)(Cl)F)(Cl)F,-0.19,-0.37,,,1.687,training
FC(OC(C(F)(F)F)(F)F)F,-0.57,-0.04,0,0,0.546,training
FC1(F)C(F)(F)[C@@]([C@@]1(F)Cl)(F)Cl,-0.03,-0.16,,0.1,,training
FC1(F)C(F)(F)C(C1(F)Cl)(F)Cl,-0.03,-0.16,,0.1,,training
OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1.08,-0.16,0.7,0.03,,training
C,0,0,0,0,,training
C[SiH]1O[SiH](C)O[SiH](C)O[SiH](O[SiH](O[SiH](O1)C)C)C,,0,0.065,0.615,4.3245,training
C=C[Si](O[Si](O[Si](O[Si](O[Si](C=C)(C)C)(C)C)(C)C)(C)C)(C)C,-0.445,0,0,1.04,,training
CC(C(C)C)C,0,0,0,0,,training
CC(C(C)C)C(C)C,,0,0,,3.473,training
CC(C)(C)C,0,0,0,0,1.82,training
CC(CC(C)(C)C)C,0,0,,0,,training
CC(CCC(C)C)C,0,0,0,0,3.308166667,training
CC[Si]1(CC)O[Si](CC)(CC)O[Si](O[Si](O1)(CC)CC)(CC)CC,-0.27,0,0,0.844,8.1488,training
CCC(C(C)C)C,0,0,,0,,training
CCC(C)(C)C,0,0,0,0,2.348777778,training
CCC(C)C,,0,0,0,2.013,training
CCC(CC)(C)C,0,0,0,,2.946,training
CCC(CC)(CC)CC,0,0,0,0,4.013,training
CCC(CC)CC,0,0,0,,3.091,training
CCCC(C)(C)C,0,0,0,,2.794333333,training
CCCCC(C)C,0,0,,,,training
CCCCCCC(C)C,0,0,,0,3.966,training
CCCCCCCC[Si](OCC)(OCC)OCC,-0.26,0,0,,6.9765,training
CCCCCCCCCCCCCCC,0,0,0,,7.20875,training
CCCCCCCCCCCCCCCCCCCC,,0,0,,9.737,training
CCCCCCCCCCCCCCCCCCCCC,0,0,,,10.2445,training
CCCCCCCCCCCCCCCCCCCCCC,0,0,,0,10.736,training
CCCCCCCCCCCCCCCCCCCCCCC,,0,,,11.25433333,training
CCCCCCCCCCCCCCCCCCCCCCCC,0,0,0,,,training
CCCCCCCCCCCCCCCCCCCCCCCCC,0,0,0,0,12.25666667,training
CCCCCCCCCCCCCCCCCCCCCCCCCC,0,0,,0,12.76433333,training
CCCCCCCCCCCCCCCCCCCCCCCCCCCC,0,0,0,0,13.771,training
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,0.01,0,0,2.65,14.44,training
FC(=C)F,,0,0,,0.24,training
CCCCCCCCCCC,0,0.000909091,0,,,training
CCCCCCCCC,0,0.001666667,0,,,training
