E,S,A,B,L,group,E,S,A,B,L,group,E,S,A,B,L,group
0.9758,0.946,0.9215,0.9511,0.9834,training,0.9664,0.8542,0.9175,0.9111,0.9773,valid,0.966,0.9129,0.8142,0.9377,0.9779,test
0.9784,0.9472,0.9113,0.9603,0.983,training,0.9715,0.8502,0.9239,0.9173,0.9768,valid,0.9711,0.9089,0.8166,0.9534,0.9799,test
0.9797,0.948,0.9153,0.9591,0.9869,training,0.9721,0.8492,0.9116,0.9152,0.9804,valid,0.9708,0.9144,0.7925,0.9542,0.9809,test
0.9805,0.9441,0.9117,0.9599,0.9785,training,0.9687,0.8494,0.9218,0.9204,0.9767,valid,0.9692,0.9082,0.7772,0.9503,0.9724,test
0.9747,0.9498,0.9132,0.9553,0.9809,training,0.965,0.8407,0.9156,0.9285,0.9772,valid,0.9677,0.917,0.8146,0.9542,0.979,test
0.9801,0.9486,0.9235,0.9621,0.9801,training,0.9689,0.8522,0.923,0.9237,0.9727,valid,0.9707,0.9157,0.8127,0.9517,0.9732,test
0.9821,0.9522,0.915,0.958,0.9847,training,0.9694,0.8473,0.909,0.9292,0.978,valid,0.9714,0.9101,0.8467,0.9519,0.9818,test
0.9713,0.952,0.9122,0.9658,0.9828,training,0.9604,0.8547,0.9088,0.9254,0.9775,valid,0.9612,0.9156,0.8258,0.9538,0.9763,test
0.9819,0.9525,0.9229,0.9658,0.9837,training,0.9724,0.8302,0.9214,0.9216,0.9769,valid,0.9751,0.9107,0.8287,0.9579,0.9804,test
0.9834,0.9439,0.9195,0.9669,0.9827,training,0.9712,0.8424,0.9134,0.9268,0.9754,valid,0.973,0.9049,0.8378,0.958,0.98,test
,,,,,,0.9686,0.84705,0.9166,0.92192,0.97689,,,,,,,
