E,S,A,B,L,group,E,S,A,B,L,group,E,S,A,B,L,group
0.9806,0.9498,0.9356,0.9663,0.9935,training,0.9777,0.9257,0.9284,0.958,0.9908,valid,0.977,0.9248,0.9274,0.963,0.9902,test
0.9827,0.9528,0.9308,0.9708,0.9907,training,0.9808,0.9242,0.9232,0.9616,0.9882,valid,0.9822,0.9256,0.9157,0.963,0.9888,test
0.986,0.9519,0.9269,0.9657,0.9932,training,0.9833,0.9244,0.9225,0.9587,0.9892,valid,0.9865,0.922,0.9227,0.9658,0.991,test
0.9837,0.9471,0.9229,0.9652,0.9937,training,0.9818,0.9263,0.9192,0.9585,0.992,valid,0.982,0.9203,0.9152,0.9627,0.9907,test
0.9858,0.9452,0.9208,0.9628,0.9898,training,0.9822,0.9222,0.9183,0.9574,0.9871,valid,0.9851,0.926,0.9073,0.9607,0.9885,test
0.9796,0.9501,0.932,0.9666,0.9918,training,0.9773,0.926,0.9289,0.9591,0.9891,valid,0.9792,0.9174,0.9238,0.9624,0.9883,test
0.9863,0.9472,0.93,0.9638,0.9899,training,0.9843,0.9232,0.9262,0.9538,0.9877,valid,0.9848,0.9276,0.9174,0.962,0.9876,test
0.983,0.9494,0.9255,0.9644,0.9892,training,0.9809,0.9233,0.9232,0.9563,0.9871,valid,0.9841,0.929,0.9219,0.9588,0.9868,test
0.9869,0.9521,0.9339,0.9708,0.9917,training,0.9841,0.9299,0.9211,0.96,0.989,valid,0.9873,0.928,0.9144,0.9638,0.9908,test
0.9831,0.9532,0.932,0.9704,0.9912,training,0.9798,0.9283,0.9277,0.9604,0.9886,valid,0.9816,0.9232,0.9213,0.9641,0.9899,test
