E,S,A,B,group,E,S,A,B,group,E,S,A,B,group
0.9847,0.9581,0.9364,0.9683,training,0.9811,0.9087,0.8826,0.9404,valid,0.9667,0.8398,0.8759,0.9387,test
0.9736,0.9546,0.9268,0.9616,training,0.9724,0.9118,0.886,0.9362,valid,0.9632,0.8517,0.8787,0.929,test
0.9857,0.9606,0.9255,0.96,training,0.9783,0.9119,0.8835,0.9325,valid,0.9646,0.8472,0.8732,0.9346,test
0.9864,0.9587,0.9319,0.9723,training,0.9846,0.9132,0.8742,0.9456,valid,0.9718,0.8554,0.8696,0.9345,test
0.9849,0.9578,0.934,0.9693,training,0.9807,0.9185,0.8792,0.944,valid,0.9658,0.8561,0.8827,0.9389,test
0.9892,0.9625,0.9454,0.9732,training,0.9859,0.9109,0.887,0.94,valid,0.9762,0.8524,0.8509,0.9426,test
0.9821,0.9586,0.9392,0.9676,training,0.9757,0.9095,0.8949,0.946,valid,0.9707,0.8647,0.8858,0.9309,test
0.9808,0.9614,0.9289,0.9654,training,0.9805,0.9121,0.8762,0.9401,valid,0.9683,0.8537,0.8732,0.9231,test
0.9852,0.9611,0.9276,0.972,training,0.9798,0.911,0.8811,0.9464,valid,0.9668,0.8606,0.8785,0.9394,test
0.9859,0.9606,0.933,0.9715,training,0.9798,0.9151,0.8894,0.9438,valid,0.9699,0.8606,0.877,0.9415,test
